indiv,INNS,night,site_mission,seqtot,sexe,geography,NS1NS2,distance
F558,3,5,SAN10_novb12,R.pumilio.nord,F,allo,SA10_NS4_novb12/SA10_NS2_novb12,7.21110255093
F558,3,5,SAN10_novb12,R.pumilio.nord,F,allo,SA10_NS4_novb12/SA10_NS3_novb12,22.5610283454
F558,3,5,SAN10_novb12,R.pumilio.nord,F,allo,SA10_NS2_novb12/SA10_NS3_novb12,18.0277563773
F559,2,5,SAN10_novb12,R.pumilio.nord,F,allo,SA10_NS2_novb12/SA10_NS1_novb12,5
M556,2,7,SAN10_novb12,R.pumilio.nord,M,allo,SA10_NS2_novb12/SA10_NS1_novb12,5
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,A_novb11/BG_novb11,24.1660919472
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,A_novb11/B_novb11,25.495097568
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,A_novb11/C_novb11,46.0434577329
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,A_novb11/D_novb11,50.4777178565
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BG_novb11/B_novb11,10.295630141
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BG_novb11/C_novb11,28.2842712475
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BG_novb11/D_novb11,32.5576411922
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,B_novb11/C_novb11,21.0237960416
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,B_novb11/D_novb11,25.495097568
F10,5,10,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,C_novb11/D_novb11,4.472135955
F11,4,11,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BJ_novb11/B_novb11,43.965895874
F11,4,11,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BJ_novb11/BI_novb11,13
F11,4,11,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BJ_novb11/BQ_novb11,36.0693775937
F11,4,11,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,B_novb11/BI_novb11,42
F11,4,11,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,B_novb11/BQ_novb11,20
F11,4,11,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BI_novb11/BQ_novb11,28.6356421266
F16,4,5,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,X_novb11/Q_novb11,22.825424421
F16,4,5,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,X_novb11/BS_novb11,18.0277563773
F16,4,5,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,X_novb11/Y_novb11,22.0227155455
F16,4,5,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,Q_novb11/BS_novb11,10.7703296143
F16,4,5,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,Q_novb11/Y_novb11,34.5253530033
F16,4,5,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,BS_novb11/Y_novb11,24.0831891576
F50,3,8,SAN_1_4_5_1G_8_novb11,R.d.dilectus,F,symp,BD_novb11/BE_novb11,6.0827625303
F50,3,8,SAN_1_4_5_1G_8_novb11,R.d.dilectus,F,symp,BD_novb11/BF_novb11,27.2946881279
F50,3,8,SAN_1_4_5_1G_8_novb11,R.d.dilectus,F,symp,BE_novb11/BF_novb11,21.6333076528
F56,3,7,SAN_1_4_5_1G_8_novb11,R.d.dilectus,F,symp,AY_novb11/AZ_novb11,7.28010988928
F56,3,7,SAN_1_4_5_1G_8_novb11,R.d.dilectus,F,symp,AY_novb11/BW_novb11,16.2788205961
F56,3,7,SAN_1_4_5_1G_8_novb11,R.d.dilectus,F,symp,AZ_novb11/BW_novb11,10.7703296143
F72,4,8,SAN_1_4_5_1G_8_novb11,R.pumilio.nord,F,symp,J_novb11/I_novb11,6.0827625303
